memory_budget_mb,n,structure,insert_time_ms,lookup_time_ms,throughput_ops_sec,throughput_stdev_pct,memory_kb,collision_rate,fpr_empirical,is_oom
64,25000,BloomFilter,10.94,0.30,16943954,4.3,32.1,0.0000,0.012200,false
64,50000,HashTable,10.59,0.12,40165482,14.4,4191.9,0.3099,0.000000,false
64,50000,BloomFilter,5.42,0.30,16667695,3.0,60.8,0.0000,0.009800,false
64,100000,HashTable,19.02,0.14,34848062,12.4,8904.9,0.3113,0.000000,false
64,100000,BloomFilter,16.84,0.30,16662210,9.1,118.9,0.0000,0.009200,false
64,250000,HashTable,72.16,0.35,14105646,12.1,21324.9,0.3114,0.000000,false
64,250000,BloomFilter,29.36,0.33,15042186,3.3,293.3,0.0000,0.009400,false
64,500000,HashTable,211.52,0.41,12151680,15.0,42737.0,0.3115,0.000000,false
64,500000,BloomFilter,49.93,0.31,16117815,5.3,1062.4,0.0000,0.008400,false
64,1000000,HashTable,0.00,0.00,0,0.0,65536.0,0.0000,0.000000,true
64,1000000,BloomFilter,117.35,0.57,8824642,29.4,2129.3,0.0000,0.011600,false
64,2000000,HashTable,0.00,0.00,0,0.0,65536.0,0.0000,0.000000,true
64,2000000,BloomFilter,305.95,0.72,6962099,11.4,3194.7,0.0000,0.009200,false
128,1000,HashTable,0.48,0.03,132785404,64.8,85.2,0.2970,0.000000,false
128,1000,BloomFilter,2.43,0.22,15985161,4.8,0.0,0.0000,0.011800,false
128,5000,HashTable,0.73,0.12,40060812,26.5,425.4,0.3048,0.000000,false
128,5000,BloomFilter,5.76,0.32,15706144,10.8,0.0,0.0000,0.010000,false
128,10000,HashTable,1.76,0.09,52734411,22.7,830.0,0.3186,0.000000,false
128,10000,BloomFilter,1.80,0.29,17066841,16.0,9.6,0.0000,0.013800,false
128,25000,HashTable,5.44,0.10,48358355,24.1,2093.9,0.3112,0.000000,false
128,25000,BloomFilter,8.78,0.31,16326011,5.4,28.0,0.0000,0.012200,false
128,50000,HashTable,12.60,0.12,40724240,15.5,4192.1,0.3099,0.000000,false
128,50000,BloomFilter,10.47,0.31,16393187,6.0,62.8,0.0000,0.009800,false
128,100000,HashTable,21.85,0.13,37606709,12.6,8896.0,0.3113,0.000000,false
128,100000,BloomFilter,14.60,0.29,17285532,3.8,119.0,0.0000,0.009200,false
128,250000,HashTable,53.34,0.41,12323717,15.7,21770.9,0.3114,0.000000,false
128,250000,BloomFilter,24.43,0.31,15902031,10.0,317.3,0.0000,0.009400,false
128,500000,HashTable,185.62,0.43,11707045,11.1,42822.9,0.3115,0.000000,false
128,500000,BloomFilter,47.77,0.31,16140474,12.5,1064.5,0.0000,0.008400,false
128,1000000,HashTable,507.17,0.46,10807405,10.0,85599.1,0.3116,0.000000,false
128,1000000,BloomFilter,105.81,0.39,12914174,32.4,2128.7,0.0000,0.011600,false
128,2000000,HashTable,0.00,0.00,0,0.0,131072.0,0.0000,0.000000,true
128,2000000,BloomFilter,304.02,0.73,6871778,5.9,3194.8,0.0000,0.009200,false
256,1000,HashTable,0.63,0.03,107539900,49.0,85.2,0.2970,0.000000,false
256,1000,BloomFilter,0.80,0.21,16525639,14.6,0.0,0.0000,0.011800,false
256,5000,HashTable,0.83,0.10,48334280,22.6,425.4,0.3048,0.000000,false
256,5000,BloomFilter,5.18,0.30,16520351,11.3,0.0,0.0000,0.010000,false
256,10000,HashTable,1.77,0.09,57168174,37.2,830.0,0.3186,0.000000,false
256,10000,BloomFilter,2.47,0.30,16503829,7.4,0.0,0.0000,0.013800,false
256,25000,HashTable,4.87,0.12,41940767,16.6,2094.0,0.3112,0.000000,false
256,25000,BloomFilter,8.23,0.29,17064977,12.5,0.0,0.0000,0.012200,false
256,50000,HashTable,9.86,0.16,32196113,8.8,4191.8,0.3099,0.000000,false
256,50000,BloomFilter,7.73,0.32,15780537,6.2,56.8,0.0000,0.009800,false
256,100000,HashTable,34.08,0.15,34061396,13.0,8914.0,0.3113,0.000000,false
256,100000,BloomFilter,10.49,0.30,16715392,9.2,119.0,0.0000,0.009200,false
256,250000,HashTable,54.33,0.18,27823532,14.9,21765.6,0.3114,0.000000,false
256,250000,BloomFilter,23.43,0.31,16112400,4.2,292.6,0.0000,0.009400,false
256,500000,HashTable,141.82,0.19,26111979,8.4,43156.9,0.3115,0.000000,false
256,500000,BloomFilter,56.00,0.31,15887113,10.6,1031.7,0.0000,0.008400,false
256,1000000,HashTable,292.23,0.18,28248468,18.2,85604.5,0.3116,0.000000,false
256,1000000,BloomFilter,123.18,0.34,14576771,8.2,2129.5,0.0000,0.011600,false
256,2000000,HashTable,654.40,0.18,27048849,17.9,171212.6,0.3110,0.000000,false
256,2000000,BloomFilter,344.57,0.36,13723200,8.5,3235.2,0.0000,0.009200,false
16,1000,HashTable,0.23,0.04,93231448,30.3,79.3,0.2970,0.000000,false
16,1000,BloomFilter,3.64,0.22,15842578,13.1,0.0,0.0000,0.011800,false
